date,time,home_team,away_team,home_goals,away_goals,result,year,total_goals,home_date,home_goals_for,home_goals_against,home_points,home_form_5,home_goals_for_5,home_goals_against_5,home_goal_diff_5,away_date,away_goals_for,away_goals_against,away_points,away_form_5,away_goals_for_5,away_goals_against_5,away_goal_diff_5,home_tier,away_tier,diff_tier,diff_form_5,diff_goals_for_5,diff_goals_against_5
2012-01-09,01:30:00,Tijuana,Chiapas,2.0,0.0,H,2012,2.0,2012-01-09,2.0,0.0,3,1.4,0.8,1.0,-0.19999999999999996,2012-01-09,0.0,2.0,0,0.8,1.2,1.6,-0.40000000000000013,2,2,0,0.5999999999999999,-0.3999999999999999,-0.6000000000000001
2012-01-09,03:30:00,Morelia,Pumas UNAM,0.0,1.0,A,2012,1.0,2012-01-09,0.0,1.0,0,1.8,2.0,1.0,1.0,2012-01-09,1.0,0.0,3,0.6,0.6,1.6,-1.0,2,2,0,1.2000000000000002,1.4,-0.6000000000000001
2012-01-09,23:00:00,Cruz Azul,Pachuca,1.0,1.0,D,2012,2.0,2012-01-09,1.0,1.0,1,0.8,0.4,1.4,-0.9999999999999999,2012-01-09,1.0,1.0,1,1.4,1.6,1.2,0.40000000000000013,1,1,0,-0.5999999999999999,-1.2000000000000002,0.19999999999999996
2012-01-10,00:00:00,Atlante,Santos Laguna,1.0,3.0,A,2012,4.0,2012-01-10,1.0,3.0,0,3.0,1.0,0.0,1.0,2012-01-10,3.0,1.0,3,1.4,1.2,1.2,0.0,3,1,-2,1.6,-0.19999999999999996,-1.2
2012-02-09,01:00:00,Monterrey,Atlas,1.0,1.0,D,2012,2.0,2012-02-09,1.0,1.0,1,0.8,1.0,2.0,-1.0,2012-02-09,1.0,1.0,1,0.8,1.4,2.2,-0.8000000000000003,1,2,1,0.0,-0.3999999999999999,-0.20000000000000018
2012-02-09,01:00:00,Santos Laguna,Tigres UANL,3.0,1.0,H,2012,4.0,2012-02-09,3.0,1.0,3,3.0,3.0,1.0,2.0,2012-02-09,1.0,3.0,0,0.8,1.0,1.4,-0.3999999999999999,1,1,0,2.2,2.0,-0.3999999999999999
2012-02-09,03:00:00,Atlético de San Luis,León,0.0,2.0,A,2012,2.0,2012-02-09,0.0,2.0,0,1.4,0.4,0.8,-0.4,2012-02-09,2.0,0.0,3,2.0,1.2,0.8,0.3999999999999999,3,1,-2,-0.6000000000000001,-0.7999999999999999,0.0
2012-02-09,18:00:00,Toluca FC,Club América,1.0,1.0,D,2012,2.0,2012-02-09,1.0,1.0,1,1.6,1.2,1.4,-0.19999999999999996,2012-02-09,1.0,1.0,1,1.4,1.0,1.2,-0.19999999999999996,1,1,0,0.20000000000000018,0.19999999999999996,0.19999999999999996
2012-02-09,23:00:00,Guadalajara,Puebla,1.0,1.0,D,2012,2.0,2012-02-09,1.0,1.0,1,1.6,1.2,0.8,0.3999999999999999,2012-02-09,1.0,1.0,1,1.2,1.2,1.4,-0.19999999999999996,1,2,1,0.40000000000000013,0.0,-0.5999999999999999
2012-03-10,01:00:00,Guadalajara,Tigres UANL,2.0,1.0,H,2012,3.0,2012-03-10,2.0,1.0,3,1.0,1.0,1.0,0.0,2012-03-10,1.0,2.0,0,0.0,1.0,3.0,-2.0,1,1,0,1.0,0.0,-2.0
2012-03-10,02:30:00,Atlético de San Luis,Club América,1.0,2.0,A,2012,3.0,2012-03-10,1.0,2.0,0,0.0,0.0,2.0,-2.0,2012-03-10,2.0,1.0,3,1.0,1.0,1.0,0.0,3,1,-2,-1.0,-1.0,1.0
2012-03-11,23:00:00,Querétaro,Guadalajara,0.0,1.0,A,2012,1.0,2012-03-11,0.0,1.0,0,0.0,0.0,1.0,-1.0,2012-03-11,1.0,0.0,3,2.0,1.5,1.0,0.5,2,1,-1,-2.0,-1.5,0.0
2012-03-11,23:00:00,Club América,Pachuca,4.0,0.0,H,2012,4.0,2012-03-11,4.0,0.0,3,2.0,1.5,1.0,0.5,2012-03-11,0.0,4.0,0,1.0,1.0,1.0,0.0,1,1,0,1.0,0.5,0.0
2012-03-11,01:30:00,Chiapas,Pumas UNAM,3.0,0.0,H,2012,3.0,2012-03-11,3.0,0.0,3,0.0,0.0,2.0,-2.0,2012-03-11,0.0,3.0,0,3.0,1.0,0.0,1.0,2,2,0,-3.0,-1.0,2.0
2012-03-11,03:30:00,Santos Laguna,Cruz Azul,2.0,1.0,H,2012,3.0,2012-03-11,2.0,1.0,3,3.0,3.0,1.0,2.0,2012-03-11,1.0,2.0,0,1.0,1.0,1.0,0.0,1,1,0,2.0,2.0,0.0
2012-03-12,00:00:00,Toluca FC,Tijuana,0.0,2.0,A,2012,2.0,2012-03-12,0.0,2.0,0,1.0,1.0,1.0,0.0,2012-03-12,2.0,0.0,3,3.0,2.0,0.0,2.0,1,2,1,-2.0,-1.0,1.0
2012-04-08,01:00:00,Santos Laguna,Puebla,2.0,2.0,D,2012,4.0,2012-04-08,2.0,2.0,1,3.0,2.6666666666666665,1.0,1.6666666666666665,2012-04-08,2.0,2.0,1,1.0,1.0,1.0,0.0,1,2,1,2.0,1.6666666666666665,0.0
2012-04-08,01:30:00,Tijuana,Pumas UNAM,1.0,0.0,H,2012,1.0,2012-04-08,1.0,0.0,3,3.0,2.0,0.0,2.0,2012-04-08,0.0,1.0,0,1.5,0.5,1.5,-1.0,2,2,0,1.5,1.5,-1.5
